industry,symbol,price,price_1yr_ago,high52,pe,mc
AUTOMOBILE,NSE:TIINDIA,337.95,295.45,434,24.64,6321.36786
FINANCIAL SERVICES,NSE:UCOBANK,14.8,19.55,23.5,#N/A,10932.8658
INDUSTRIAL MANUFACTURING,NSE:UFLEX,209.3,310.8,355,4.87,1501.251867
FERTILISERS & PESTICIDES,NSE:UPL,589.8,458.43,709.05,40.44,44997.31487
FINANCIAL SERVICES,NSE:UJJIVAN,305.9,322.25,371.6,19.88,3714.479387
CEMENT & CEMENT PRODUCTS,NSE:ULTRACEMCO,3904,4107.6,4904.95,35.6,107087.682
FINANCIAL SERVICES,NSE:UNIONBANK,56.3,80.75,100.4,#N/A,9934.993125
CONSUMER GOODS,NSE:UBL,1286,1281.05,1491.4,60.4,34002.49586
CONSUMER GOODS,NSE:MCDOWELL-N,617,578.3,676.6,62.51,44833.61396
CONSUMER GOODS,NSE:VGUARD,219,196.9,252,56.77,9365.39484
CONSUMER GOODS,NSE:VMART,2140,2892.85,2955,71.41,3906.355495
CONSUMER GOODS,NSE:VIPIND,397.05,540.5,585.4,47.94,5633.614078
SERVICES,NSE:VRLLOG,283,304.5,319.4,26.86,2551.77208
CONSUMER GOODS,NSE:VSTIND,3523.85,3349.65,3870,22.55,5468.832007
SERVICES,NSE:WABAG,288,382.65,406.65,16.4,1580.303698
IT,NSE:VAKRANGEE,30,37.8,71,159.88,3120.78172
TEXTILES,NSE:VTL,900,1057.65,1155,7.46,5175.33571
AUTOMOBILE,NSE:VARROC,446,1036.8,1090.05,13.87,6012.5929
CONSUMER GOODS,NSE:VBL,629.9,537,674,41.26,17004.67554
METALS,NSE:VEDL,141.3,219.65,246.9,7.64,2936.585665
CONSUMER GOODS,NSE:VENKEYS,1416,2595.3,2954.95,12.09,1992.303376
CHEMICALS,NSE:VINATIORGA,2300,1352.95,2305,39.32,11829.14539
TELECOM,NSE:IDEA,5.3,27.9,29.41,#N/A,15170.12291
CONSUMER GOODS,NSE:VOLTAS,638.6,575.6,662.5,43.18,21130.28975
AUTOMOBILE,NSE:WABCOINDIA,6097,6907.8,7150,44.11,11560.16688
METALS,NSE:WELCORP,128.05,169.25,179.9,58.51,3397.583241
TEXTILES,NSE:WELSPUNIND,52.15,73.1,76.65,22.52,5239.641028
CONSUMER GOODS,NSE:WHIRLPOOL,1650,1624.5,1954.7,51.09,20933.847
IT,NSE:WIPRO,255.8,242.96,301.6,16.62,2287.3548
PHARMA,NSE:WOCKPHARMA,242.75,626.25,692.2,#N/A,2691.871743
FINANCIAL SERVICES,NSE:YESBANK,63,316.6,328.95,8.59,16092.4494
MEDIA & ENTERTAINMENT,NSE:ZEEL,363,466,506.9,19.68,34860.63345
IT,NSE:ZENSARTECH,221,324.85,339.65,16.13,5022.83914
CONSUMER GOODS,NSE:ZYDUSWELL,1815.1,1629.9,1848.55,38.78,10509.95936
IT,NSE:ECLERX,461,1097.15,1229.5,8.34,1661.910502
